independent_film,AKA,Twisted,I Heart Huckabees,Black Cloud,Matewan,Prom Night III: The Last Kiss,Gray's Anatomy,Prom Night,Spun
murder,Boys Don't Cry,Friday the 13th Part III,The Last Supper,Friday the 13th,Homicidal,Psycho II,Scarface,Psycho III,Little Caesar
based_on_novel,Gray Lady Down,King of the Ants,The World of Suzie Wong,Bliss,Stay Hungry,A Home at the End of the World,The Bourne Supremacy,Homeward Bound: The Incredible Journey,Cinderella
suspense,Suspicion,Best Laid Plans,Young and Innocent,Sabotage,Secret Agent,The Man Who Knew Too Much,Ransom,The Edge,Breathless
sex,Dream for an Insomniac,Tex,Stuck on You,Secret Things,Disturbing Behavior,The Rapture,There's a Girl in My Soup,Prom Night IV: Deliver Us from Evil,Prom Night
musical,Night and Day,Meet Me in St. Louis,Sleeping Beauty,The Wizard of Oz,Pootie Tang,Steamboat Willie,Swing Kids,Robin and the 7 Hoods,From Justin to Kelly
nudity,"Salò, or the 120 Days of Sodom",Things You Can Tell Just by Looking at Her,Henry: Portrait of a Serial Killer,Atlantic City,Lolita,Beyond Re-Animator,Prom Night IV: Deliver Us from Evil,Prom Night III: The Last Kiss,Hello Mary Lou: Prom Night II
love,The Story of Adele H,Othello,You Can't Take It With You,True Romance,Outside Providence,Marty,The Shape of Things,Mourning Becomes Electra,The Low Down
violence,Sleepaway Camp,Clear and Present Danger,Indiana Jones and the Temple of Doom,Something Wild,Thesis,Bad Lieutenant,Atlantic City,Single White Female,Watership Down
police,Bad Lieutenant,Scarface,Along Came a Spider,Exit Wounds,C.H.U.D.,River's Edge,15 Minutes,Cop,The Big Easy
revenge,Valentine,Shaft,Cutter's Way,Shaft,The Devil Bat,Missing in Action 2: The Beginning,The Last House on the Left,Evilspeak,Nothing to Lose
sport,Talent for the Game,The Pride of the Yankees,Hot Dog... The Movie,The Fan,Blue Juice,The Scout,Grind,The Bad News Bears in Breaking Training,The Bad News Bears Go to Japan
friendship,Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown,The Little Rascals,Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown,Pokémon: Spell of the Unknown
female_nudity,A Dirty Shame,The Coca-Cola Kid,Intersection,Hackers,Nomads,The Arena,Supervixens,Thief of Hearts,The Rage: Carrie 2
world_war_ii,The Believer,Two Women,The Counterfeit Traitor,Kelly's Heroes,For a Lost Soldier,Windtalkers,The Desert Rats,Ballad of a Soldier,Who's Singin' Over There?
prison,The Blues Brothers,Brubaker,Buffalo '66,I Am a Fugitive from a Chain Gang,A Short Film About Killing,Bandits,Bandits,Mean Machine,The Running Man
biography,Rembrandt,Abe Lincoln in Illinois,Gentleman Jim,Schindler's List,Frances,Rudy,The Babe Ruth Story,Dragon: The Bruce Lee Story,In the Name of the Father
new_york,The Muppets Take Manhattan,The Jazz Singer,The Exterminator,Before Night Falls,Don't Go in the House,Manhattan,Nueba Yol,Leon: The Professional,Naked in New York
drug,Party Monster,Atlantic City,Bound by Honor,Beyond Bedlam,Hard Boiled,Last Summer,The Border,Alice's Restaurant,Swimming Pool
