title;genres;keywords;popularity;average_vote;num_votes
Toy Story;animation, comedy, family;jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life;21.946943;7.7;5415.0
Jumanji;adventure, fantasy, family;board game, disappearance, based on children's book, new home, recluse, giant insect;17.015539;6.9;2413.0
Grumpier Old Men;romance, comedy;fishing, best friend, duringcreditsstinger, old men;11.7129;6.5;92.0
Waiting to Exhale;comedy, drama, romance;based on novel, interracial relationship, single mother, divorce, chick flick;3.859495;6.1;34.0
Father of the Bride Part II;comedy;baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist;8.387519000000001;5.7;173.0
Heat;action, crime, drama, thriller;robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic;17.924927;7.7;1886.0
Sabrina;comedy, romance;paris, brother brother relationship, chauffeur, long island, fusion, millionaire;6.677277;6.2;141.0
Sudden Death;action, adventure, thriller;terrorist, hostage, explosive, vice president;5.23158;5.5;174.0
GoldenEye;adventure, action, thriller;cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army;14.686035999999998;6.6;1194.0
The American President;comedy, drama, romance;white house, usa president, new love, widower, wildlife conservation;6.318445;6.5;199.0
Dracula: Dead and Loving It;comedy, horror;dracula, spoof;5.430331;5.7;210.0
Balto;family, animation, adventure;wolf, dog-sledding race, alaska, dog, goose, bear attack, dog sled, frozen lake;12.140733;7.1;423.0
Nixon;history, drama;usa president, presidential election, watergate scandal, biography, government, historical figure;5.092;7.1;72.0
Cutthroat Island;action, adventure;exotic island, treasure, map, ship, scalp, pirate;7.284477000000001;5.7;137.0
Casino;drama, crime;poker, drug abuse, 1970s, overdose, illegal prostitution;10.137389;7.8;1343.0
